customer_id,customer_name,contact_name,address,city,postal_code,country
1,AlfredsFutterkiste,MariaAnders,ObereStr.57,Berlin,12209,Germany
2,AnaTrujilloEmparedadosyhelados,AnaTrujillo,Avda.delaConstitución2222,MéxicoD.F.,05021,Mexico
3,AntonioMorenoTaquería,AntonioMoreno,Mataderos2312,MéxicoD.F.,05023,Mexico
4,AroundtheHorn,ThomasHardy,120HanoverSq.,London,WA11DP,UK
5,Berglundssnabbköp,ChristinaBerglund,Berguvsvägen8,Luleå,S-95822,Sweden
6,BlauerSeeDelikatessen,HannaMoos,Forsterstr.57,Mannheim,68306,Germany
7,Blondelpèreetfils,FrédériqueCiteaux,24,placeKléber,Strasbourg,67000,France
8,BólidoComidaspreparadas,MartínSommer,C/Araquil,67,Madrid,28023,Spain
9,Bonapp',LaurenceLebihans,12,ruedesBouchers,Marseille,13008,France
10,Bottom-DollarMarketse,ElizabethLincoln,23TsawassenBlvd.,Tsawassen,T2F8M4,Canada
11,B'sBeverages,VictoriaAshworth,FauntleroyCircus,London,EC25NT,UK
12,CactusComidasparallevar,PatricioSimpson,Cerrito333,BuenosAires,1010,Argentina
13,CentrocomercialMoctezuma,FranciscoChang,SierrasdeGranada9993,MéxicoD.F.,05022,Mexico
14,Chop-sueyChinese,YangWang,Hauptstr.29,Bern,3012,Switzerland
15,ComércioMineiro,PedroAfonso,Av.dosLusíadas,23,SãoPaulo,05432-043,Brazil
16,ConsolidatedHoldings,ElizabethBrown,BerkeleyGardens12Brewery,London,WX16LT,UK
17,DrachenblutDelikatessend,SvenOttlieb,Walserweg21,Aachen,52066,Germany
18,Dumondeentier,JanineLabrune,67,ruedesCinquanteOtages,Nantes,44000,France
19,EasternConnection,AnnDevon,35KingGeorge,London,WX36FW,UK
20,ErnstHandel,RolandMendel,Kirchgasse6,Graz,8010,Austria
21,FamiliaArquibaldo,AriaCruz,RuaOrós,92,SãoPaulo,05442-030,Brazil
22,FISSAFabricaInter.SalchichasS.A.,DiegoRoel,C/Moralzarzal,86,Madrid,28034,Spain
23,Foliesgourmandes,MartineRancé,184,chausséedeTournai,Lille,59000,France
24,FolkochfäHB,MariaLarsson,Åkergatan24,Bräcke,S-84467,Sweden
25,Frankenversand,PeterFranken,BerlinerPlatz43,München,80805,Germany
